route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"701",1521_SO,1521_10869,"Czyżyny Dworzec",,0,SO_701-03_19,898666,0,0
"701",1520_SO,1520_39514,"Wzgórza Krzesławickie",,0,SO_701-03_20,896807,0,0
"701",1521_SO,1521_10871,"Wzgórza Krzesławickie",,0,SO_701-03_20,898667,0,0
"701",1520_SO,1520_39517,"Czyżyny Dworzec",,0,SO_701-03_21,896806,0,0
"701",1521_SO,1521_10874,"Czyżyny Dworzec",,0,SO_701-03_21,898666,0,0
"701",1520_SO,1520_39521,"Wzgórza Krzesławickie",,0,SO_701-03_22,896807,0,0
"701",1521_SO,1521_10876,"Wzgórza Krzesławickie",,0,SO_701-03_22,898667,0,0
"701",1520_SO,1520_39526,"Czyżyny Dworzec",,0,SO_701-03_23,896806,0,0
"701",1521_SO,1521_10877,"Czyżyny Dworzec",,0,SO_701-03_23,898666,0,0
"701",1520_SO,1520_39530,"Wzgórza Krzesławickie",,0,SO_701-03_24,896807,0,0
"701",1521_SO,1521_10879,"Wzgórza Krzesławickie",,0,SO_701-03_24,898667,0,0
"701",1520_SO,1520_39534,"Czyżyny Dworzec",,0,SO_701-03_25,896806,0,0
"701",1521_SO,1521_10882,"Czyżyny Dworzec",,0,SO_701-03_25,898666,0,0
"701",1520_SO,1520_39538,"Wzgórza Krzesławickie",,0,SO_701-03_26,896807,0,0
"701",1521_SO,1521_10884,"Wzgórza Krzesławickie",,0,SO_701-03_26,898667,0,0
"701",1520_SO,1520_39541,"Czyżyny Dworzec",,0,SO_701-03_27,896806,0,0
"701",1521_SO,1521_10886,"Czyżyny Dworzec",,0,SO_701-03_27,898666,0,0
"701",1520_SO,1520_39545,"Wzgórza Krzesławickie",,0,SO_701-03_28,896807,0,0
"701",1521_SO,1521_10888,"Wzgórza Krzesławickie",,0,SO_701-03_28,898667,0,0
"701",1520_SO,1520_39550,"Czyżyny Dworzec",,0,SO_701-03_29,896806,0,0
"701",1521_SO,1521_10890,"Czyżyny Dworzec",,0,SO_701-03_29,898666,0,0
"701",1520_SO,1520_39556,"Wzgórza Krzesławickie",,0,SO_701-03_30,896807,0,0
"701",1521_SO,1521_10891,"Wzgórza Krzesławickie",,0,SO_701-03_30,898667,0,0
"701",1520_SO,1520_39559,"Czyżyny Dworzec",,0,SO_701-03_31,896806,0,0
"701",1521_SO,1521_10893,"Czyżyny Dworzec",,0,SO_701-03_31,898666,0,0
"701",1520_SO,1520_39562,"Wzgórza Krzesławickie",,0,SO_701-03_32,896807,0,0
"701",1521_SO,1521_10895,"Wzgórza Krzesławickie",,0,SO_701-03_32,898667,0,0
"701",1520_SO,1520_39567,"Czyżyny Dworzec",,0,SO_701-03_33,896806,0,0
"701",1521_SO,1521_10897,"Czyżyny Dworzec",,0,SO_701-03_33,898666,0,0
